Gene	bNum	Rna_37C	Rna_10min	Rna_30min	Rna_2hr	Rna_3hr	Rna_4hr	Rna_6hr	Filter_2f	Cluster group	First ORF	ORF start	TSS	5'UTR length	Other TSS
lpxB	b0182	2.58E-04	3.06E-04	4.58E-04	4.69E-04	4.57E-04	3.60E-04	3.46E-04	NO						
rnhB	b0183	3.54E-05	1.04E-04	1.95E-04	2.42E-04	2.35E-04	1.94E-04	1.80E-04	NO						
dnaE	b0184	5.42E-04	6.53E-04	9.15E-04	1.12E-03	1.16E-03	1.06E-03	7.10E-04	NO						
accA	b0185	6.05E-04	6.20E-04	6.06E-04	5.37E-04	3.77E-04	4.48E-04	4.28E-04	NO						
ldcC	b0186	1.93E-05	2.55E-05	3.54E-05	6.47E-05	6.17E-05	8.83E-05	1.03E-04	NO						
yaeR	b0187	3.10E-06	1.07E-05	1.46E-05	1.96E-05	2.30E-05	2.03E-05	2.69E-05	NO						
tilS	b0188	9.70E-05	6.78E-05	8.12E-05	8.93E-05	8.27E-05	7.20E-05	8.33E-05	NO						
yaeQ	b0190	2.34E-05	3.32E-05	4.51E-05	7.20E-05	1.13E-04	1.07E-04	1.34E-04	NO						
yaeJ	b0191	1.12E-05	1.94E-05	1.93E-05	3.81E-05	7.17E-05	5.92E-05	5.96E-05	NO						
nlpE	b0192	3.56E-05	3.63E-05	5.04E-05	9.72E-05	1.39E-04	1.14E-04	1.46E-04	NO						
gmhB	b0200	5.62E-05	6.91E-05	1.05E-04	1.93E-04	1.76E-04	2.12E-04	2.36E-04	NO						
dkgB	b0207	3.98E-05	9.93E-05	1.89E-04	9.94E-05	7.11E-05	4.34E-05	2.84E-05	NO						
yafD	b0209	1.29E-04	5.40E-05	1.17E-04	7.80E-05	6.68E-05	7.18E-05	3.25E-05	NO						
yafE	b0210	1.97E-05	2.61E-05	7.14E-05	5.60E-05	3.53E-05	4.53E-05	1.21E-05	NO						
yafS	b0213	2.64E-05	2.07E-05	3.15E-05	6.01E-05	4.99E-05	6.65E-05	5.12E-05	NO						
dnaQ	b0215	7.41E-05	6.99E-05	6.21E-05	6.32E-05	6.99E-05	6.20E-05	4.25E-05	NO						
yafT	b0217	1.55E-07	4.56E-05	4.72E-05	3.78E-05	4.09E-05	1.91E-05	5.75E-05	NO						
yafF	b4503	0.00E+00	1.81E-07	2.10E-06	2.29E-06	5.02E-06	2.54E-06	1.59E-06	NO						
ivy	b0220	6.69E-05	3.30E-05	3.44E-05	3.45E-05	4.24E-05	5.26E-05	7.99E-05	NO						
lpcA	b0222	2.14E-04	1.39E-04	1.04E-04	1.11E-04	8.69E-05	1.12E-04	1.14E-04	NO						
yafJ	b0223	2.30E-05	6.46E-05	6.87E-05	6.34E-05	8.14E-05	8.40E-05	9.10E-05	NO						
yafL	b0227	0.00E+00	1.98E-06	2.78E-06	4.28E-06	1.05E-05	8.62E-06	4.16E-06	NO						
yafM	b0228	0.00E+00	1.38E-06	2.54E-06	2.85E-06	3.58E-06	4.30E-06	8.32E-06	NO						
lafU	b0230	1.55E-07	1.38E-06	3.24E-06	5.16E-06	8.96E-06	5.54E-06	5.12E-06	NO						
dinB	b0231	1.88E-05	3.12E-05	3.89E-05	8.78E-05	1.20E-04	1.09E-04	8.01E-05	NO						
yafN	b0232	1.30E-05	1.46E-05	9.13E-06	1.11E-05	1.25E-05	2.20E-05	8.31E-06	NO						
yafO	b0233	5.90E-06	8.49E-06	9.71E-06	1.31E-05	3.04E-05	2.12E-05	1.53E-05	NO						
yafP	b0234	0.00E+00	3.82E-06	3.24E-06	9.98E-06	1.74E-05	2.04E-05	7.74E-06	NO						
ykfJ	b0235	0.00E+00	0.00E+00	3.69E-06	2.83E-06	5.86E-06	2.36E-06	2.49E-06	NO						
prfH	b0236	1.55E-07	1.78E-06	2.54E-06	6.11E-06	4.35E-06	8.10E-06	8.32E-06	NO						
gpt	b0238	9.33E-05	9.18E-05	8.31E-05	3.65E-05	2.17E-05	1.70E-05	3.23E-05	NO						
frsA	b0239	7.55E-05	9.38E-05	1.20E-04	1.21E-04	1.15E-04	1.04E-04	8.16E-05	NO						
crl	b0240	1.45E-04	1.00E-04	1.29E-04	1.62E-04	1.56E-04	1.47E-04	1.92E-04	NO						
proB	b0242	2.74E-04	2.33E-04	2.38E-04	2.34E-04	2.42E-04	1.85E-04	1.37E-04	NO						
proA	b0243	2.91E-04	2.57E-04	2.62E-04	1.98E-04	1.61E-04	1.52E-04	1.08E-04	NO						
insN	b4587	8.60E-06	4.34E-06	5.54E-06	6.54E-06	7.40E-06	6.85E-06	4.98E-06	NO						
insN	b4587	1.37E-05	1.02E-05	1.44E-05	1.62E-05	1.88E-05	2.23E-05	1.66E-05	NO						
insI	b0256	3.26E-05	2.13E-05	2.09E-05	3.72E-05	4.76E-05	5.38E-05	3.15E-05	NO						
ykfC	b0258	9.48E-06	2.16E-05	1.88E-05	2.56E-05	2.61E-05	3.04E-05	4.17E-05	NO						
mmuP	b0260	1.04E-03	8.50E-04	8.48E-04	2.86E-04	2.01E-04	2.41E-04	9.17E-05	NO						
mmuM	b0261	4.72E-04	5.34E-04	6.98E-04	2.42E-04	1.56E-04	2.10E-04	9.37E-05	NO						
yagE	b0268	3.11E-07	2.77E-06	3.24E-06	4.89E-06	3.07E-06	5.54E-06	3.33E-06	NO						
yagF	b0269	8.55E-06	1.33E-05	1.83E-05	1.82E-05	2.25E-05	1.96E-05	1.83E-05	NO						
yagG	b0270	0.00E+00	5.93E-07	2.08E-06	1.02E-06	1.28E-06	3.90E-06	5.00E-06	NO						
yagH	b0271	2.18E-06	4.15E-06	9.50E-06	2.86E-06	2.30E-06	2.46E-06	6.67E-06	NO						
yagJ	b0276	3.28E-05	1.28E-05	2.05E-05	5.88E-05	6.57E-05	7.91E-05	8.51E-05	NO						
yagU	b0287	5.03E-05	5.06E-05	3.90E-05	1.90E-05	1.43E-05	2.17E-05	1.25E-05	NO						
ykgL	b0295	2.94E-06	1.58E-06	3.23E-06	5.92E-06	3.64E-06	8.07E-06	9.13E-06	NO						
eaeH	b0297	0.00E+00	2.20E-06	6.83E-06	5.20E-06	2.05E-06	3.49E-06	3.44E-06	NO						
insE	b0298	1.18E-06	2.51E-06	2.99E-06	4.99E-06	7.20E-06	4.29E-06	3.76E-06	NO						
insF	b0299	6.18E-06	5.13E-06	8.80E-06	1.22E-05	1.36E-05	1.27E-05	1.25E-05	NO						
ykgQ	b4631	0.00E+00	0.00E+00	2.29E-07	8.09E-07	0.00E+00	3.05E-06	2.89E-06	NO						
ykgD	b0305	4.44E-07	3.95E-06	2.08E-06	2.72E-06	2.82E-06	2.54E-06	5.83E-06	NO						
ykgE	b0306	4.97E-06	4.94E-06	4.05E-06	4.69E-06	5.37E-06	3.79E-06	1.67E-06	NO						
ykgF	b0307	2.67E-05	8.90E-06	9.03E-06	1.20E-05	1.05E-05	9.44E-06	9.17E-06	NO						
ykgG	b0308	7.77E-06	5.73E-06	8.71E-06	8.56E-06	5.89E-06	5.13E-06	9.99E-06	NO						
yahA	b0315	5.84E-05	3.92E-05	3.42E-05	9.53E-05	1.42E-04	1.48E-04	7.75E-05	NO						
yahD	b0318	0.00E+00	2.17E-06	1.85E-06	2.85E-06	1.02E-06	3.59E-06	3.33E-06	NO						
yahE	b0319	0.00E+00	5.93E-07	1.85E-06	2.14E-06	2.30E-06	2.67E-06	5.00E-06	NO						
yahF	b0320	4.20E-06	2.37E-06	6.02E-06	6.53E-06	3.84E-06	6.36E-06	1.83E-05	NO						
yahG	b0321	1.41E-05	2.77E-06	5.79E-06	3.98E-06	1.79E-06	5.95E-06	6.67E-06	NO						
yahI	b0323	0.00E+00	1.59E-06	3.70E-06	2.24E-06	3.33E-06	2.46E-06	3.33E-06	NO						
yahJ	b0324	1.37E-05	1.60E-05	2.11E-05	1.27E-05	2.15E-05	1.31E-05	1.92E-05	NO						
yahK	b0325	6.68E-06	1.68E-05	1.63E-05	1.06E-05	1.15E-05	1.24E-05	1.79E-05	NO						
yahL	b0326	0.00E+00	3.56E-06	2.78E-06	5.30E-06	1.28E-06	6.57E-06	1.67E-06	NO						
yahM	b0327	1.25E-05	7.09E-06	5.38E-06	1.01E-05	5.36E-06	8.08E-06	3.32E-06	NO						
yahO	b0329	3.56E-06	4.53E-06	6.69E-06	1.17E-05	1.20E-05	9.90E-06	1.25E-05	NO						
prpB	b0331	0.00E+00	0.00E+00	2.55E-06	3.47E-06	1.02E-06	4.10E-06	3.33E-06	NO						
prpC	b0333	0.00E+00	3.95E-07	6.95E-07	3.98E-06	7.17E-06	3.59E-06	5.83E-06	NO						
prpD	b0334	0.00E+00	0.00E+00	1.62E-06	3.26E-06	4.61E-06	2.67E-06	2.50E-06	NO						
prpE	b0335	5.44E-06	2.57E-06	7.60E-06	9.18E-06	9.73E-06	1.23E-05	1.83E-05	NO						
codB	b0336	5.21E-05	5.02E-05	4.78E-05	3.09E-05	1.31E-05	1.66E-05	1.17E-05	NO						
codA	b0337	5.36E-05	8.81E-05	9.56E-05	6.42E-05	6.63E-05	5.15E-05	4.78E-05	NO						
cynT	b0339	0.00E+00	1.19E-06	2.31E-06	2.75E-06	2.81E-06	1.05E-06	1.67E-06	NO						
cynS	b0340	4.66E-06	5.92E-07	1.16E-06	1.22E-06	3.32E-06	2.03E-06	2.50E-06	NO						
cynX	b0341	9.02E-06	3.36E-06	6.95E-06	6.40E-06	3.33E-06	3.49E-06	7.50E-06	NO						
mhpA	b0347	1.13E-05	2.77E-06	7.18E-06	1.34E-05	4.87E-06	8.62E-06	1.00E-05	NO						
mhpB	b0348	0.00E+00	1.58E-06	1.85E-06	2.24E-06	5.12E-07	2.87E-06	6.67E-06	NO						
mhpC	b0349	2.02E-06	1.19E-06	1.85E-06	1.63E-06	2.56E-06	3.69E-06	4.17E-06	NO						
mhpD	b0350	5.75E-06	7.91E-07	1.16E-06	4.28E-06	2.05E-06	4.31E-06	2.41E-06	NO						
mhpF	b0351	1.21E-05	6.33E-06	6.71E-06	5.10E-06	6.40E-06	7.18E-06	6.67E-06	NO						
mhpE	b0352	0.00E+00	3.36E-06	4.40E-06	7.44E-06	3.84E-06	7.59E-06	2.50E-06	NO						
mhpT	b0353	3.11E-07	4.55E-06	6.02E-06	6.06E-06	9.22E-06	8.42E-06	5.83E-06	NO						
yaiL	b0354	6.72E-05	4.84E-05	4.67E-05	5.02E-05	5.81E-05	4.97E-05	6.90E-05	NO						
insC	b0360	5.48E-06	7.63E-06	1.01E-05	2.07E-05	2.12E-05	1.55E-05	1.14E-05	NO						
insD	b0361	1.10E-05	1.28E-05	1.93E-05	4.31E-05	4.32E-05	3.02E-05	2.54E-05	NO						
tauA	b0365	3.57E-05	1.30E-05	7.41E-06	3.26E-06	2.56E-06	6.36E-06	4.58E-06	NO						
tauB	b0366	1.27E-05	6.13E-06	6.74E-06	5.10E-06	3.58E-06	8.24E-06	3.33E-06	NO						
tauC	b0367	1.55E-06	5.73E-06	1.05E-05	4.08E-06	5.12E-06	5.85E-06	8.33E-06	NO						
tauD	b0368	2.33E-06	9.15E-06	7.06E-06	4.69E-06	6.65E-06	5.33E-06	5.00E-06	NO						
yaiT	b4580	9.33E-06	5.54E-06	7.42E-06	1.37E-05	7.17E-06	1.23E-05	1.33E-05	NO						
yaiT	b4580	4.51E-06	1.13E-05	1.18E-05	2.38E-05	2.33E-05	2.34E-05	2.67E-05	NO						
yaiV	b0375	6.68E-06	9.88E-07	2.31E-06	1.43E-06	7.93E-06	3.28E-06	1.67E-06	NO						
sbmA	b0377	2.02E-05	2.65E-05	3.80E-05	7.11E-05	8.32E-05	1.11E-04	7.15E-05	NO						
yaiW	b0378	6.84E-06	4.17E-05	4.77E-05	6.47E-05	7.49E-05	9.07E-05	7.75E-05	NO						
yaiZ	b0380	4.18E-06	6.10E-06	9.45E-06	1.82E-05	1.48E-05	1.53E-05	1.41E-05	NO						
iraP	b0382	2.15E-05	1.27E-05	1.41E-05	8.57E-06	1.07E-05	1.26E-05	6.64E-06	NO						
phoA	b0383	5.47E-05	3.27E-05	3.88E-05	3.77E-05	3.92E-05	6.11E-05	5.25E-05	NO						
psiF	b0384	2.95E-06	2.96E-06	3.12E-06	3.89E-06	8.94E-06	6.06E-06	1.33E-05	NO						
adrA	b0385	0.00E+00	4.94E-06	7.76E-06	9.18E-06	1.77E-05	1.19E-05	1.42E-05	NO						
aroL	b0388	6.59E-05	6.26E-05	8.13E-05	2.53E-04	3.31E-04	3.61E-04	3.97E-04	NO						
yaiA	b0389	7.89E-06	2.28E-05	2.37E-05	8.18E-05	1.07E-04	1.20E-04	1.50E-04	NO						
aroM	b0390	3.81E-05	4.37E-05	5.33E-05	1.45E-04	2.00E-04	2.70E-04	3.28E-04	NO						
yaiE	b0391	1.29E-05	1.54E-05	3.51E-05	9.93E-05	1.56E-04	1.55E-04	1.87E-04	NO						
ykiA	b0392	4.65E-07	1.11E-05	8.77E-06	2.00E-05	1.93E-05	2.46E-05	3.48E-05	NO						
mak	b0394	5.90E-05	2.66E-05	3.68E-05	2.22E-05	2.74E-05	2.42E-05	2.92E-05	NO						
phoB	b0399	3.93E-05	3.33E-05	3.36E-05	5.62E-05	7.28E-05	7.53E-05	5.95E-05	NO						
phoR	b0400	4.90E-05	4.45E-05	4.90E-05	7.86E-05	8.14E-05	1.03E-04	8.67E-05	NO						
brnQ	b0401	2.02E-04	2.70E-04	2.98E-04	5.04E-04	5.15E-04	4.05E-04	2.37E-04	NO						
proY	b0402	9.31E-05	1.65E-04	1.97E-04	1.94E-04	1.86E-04	1.55E-04	1.21E-04	NO						
malZ	b0403	3.79E-05	3.10E-05	6.08E-05	8.66E-05	8.94E-05	7.08E-05	5.54E-05	NO						
queA	b0405	8.70E-05	1.53E-04	1.77E-04	1.70E-04	1.87E-04	1.78E-04	1.55E-04	NO						
tgt	b0406	7.09E-04	7.97E-04	7.70E-04	6.16E-04	5.46E-04	5.63E-04	6.33E-04	NO						
yajC	b0407	4.92E-04	4.24E-04	3.99E-04	2.66E-04	2.14E-04	2.46E-04	2.91E-04	NO						
secD	b0408	1.08E-03	1.13E-03	1.12E-03	9.17E-04	8.72E-04	8.92E-04	7.83E-04	NO						
secF	b0409	4.61E-04	5.81E-04	6.17E-04	4.39E-04	4.35E-04	4.42E-04	4.52E-04	NO						
yajD	b0410	1.13E-05	1.66E-05	2.20E-05	1.49E-05	1.12E-05	2.18E-05	1.91E-05	NO						
nrdR	b0413	6.95E-05	7.25E-05	8.12E-05	1.08E-04	1.30E-04	1.33E-04	1.15E-04	NO						
ribD	b0414	1.12E-04	1.67E-04	1.82E-04	2.35E-04	2.68E-04	2.76E-04	2.89E-04	NO						
ribE	b0415	1.69E-04	2.60E-04	3.00E-04	4.24E-04	4.40E-04	3.74E-04	4.72E-04	NO						
nusB	b0416	1.77E-04	2.18E-04	2.46E-04	3.08E-04	2.91E-04	2.30E-04	3.20E-04	NO						
thiL	b0417	7.12E-05	1.15E-04	1.62E-04	1.89E-04	2.09E-04	1.47E-04	1.76E-04	NO						
pgpA	b0418	3.24E-05	7.01E-05	1.35E-04	1.91E-04	1.94E-04	1.84E-04	1.88E-04	NO						
thiI	b0423	1.79E-04	2.88E-04	3.02E-04	3.65E-04	4.13E-04	3.82E-04	3.97E-04	NO						
yajQ	b0426	5.13E-04	3.23E-04	2.19E-04	6.86E-05	5.22E-05	3.85E-05	5.08E-05	NO						
bolA	b0435	6.73E-05	4.43E-05	3.80E-05	6.76E-05	9.35E-05	1.24E-04	1.84E-04	NO						
tig	b0436	3.57E-03	3.76E-03	3.54E-03	2.12E-03	1.47E-03	1.65E-03	3.22E-03	NO						
clpP	b0437	4.73E-04	3.56E-04	3.62E-04	5.72E-04	6.51E-04	7.66E-04	7.25E-04	NO						
clpX	b0438	1.26E-03	1.01E-03	1.13E-03	1.54E-03	1.59E-03	1.96E-03	1.99E-03	NO						
lon	b0439	2.11E-03	1.69E-03	1.74E-03	1.31E-03	1.18E-03	1.39E-03	1.96E-03	NO						
hupB	b0440	9.23E-04	7.03E-04	5.78E-04	4.63E-04	4.04E-04	4.83E-04	5.62E-04	NO						
ppiD	b0441	5.47E-04	6.56E-04	6.04E-04	4.89E-04	5.03E-04	4.93E-04	4.12E-04	NO						
ybaV	b0442	4.03E-06	5.92E-06	1.11E-05	1.02E-05	4.85E-06	1.04E-05	1.16E-05	NO						
ybaW	b0443	3.26E-06	7.70E-06	7.63E-06	6.41E-06	1.02E-05	1.07E-05	8.32E-06	NO						
cof	b0446	3.34E-05	1.30E-05	1.13E-05	4.08E-05	3.56E-05	5.86E-05	7.41E-05	NO						
ybaO	b0447	1.71E-06	1.21E-05	1.48E-05	2.58E-05	2.53E-05	2.94E-05	3.87E-05	NO						
mdlA	b0448	4.40E-05	4.77E-05	7.26E-05	1.01E-04	1.21E-04	1.34E-04	1.09E-04	NO						
mdlB	b0449	1.20E-05	4.27E-05	8.28E-05	1.17E-04	1.10E-04	1.36E-04	1.27E-04	NO						
glnK	b0450	0.00E+00	2.17E-06	3.93E-06	3.66E-06	1.02E-05	4.23E-06	1.66E-06	NO						
amtB	b0451	1.10E-05	5.73E-06	1.48E-05	2.27E-05	2.15E-05	2.88E-05	3.08E-05	NO						
ybaY	b0453	1.37E-05	1.38E-05	1.89E-05	4.68E-05	7.62E-05	9.53E-05	1.95E-04	NO						
ybaA	b0456	0.00E+00	5.78E-05	1.81E-04	3.09E-04	2.07E-04	1.27E-04	9.07E-05	NO						
acrR	b0464	3.54E-05	4.05E-05	1.12E-04	3.11E-04	2.50E-04	1.15E-04	1.92E-05	NO						
kefA	b0465	2.31E-04	3.18E-04	4.49E-04	7.43E-04	7.89E-04	6.47E-04	4.14E-04	NO						
apt	b0469	2.61E-04	2.27E-04	1.53E-04	1.22E-04	1.57E-04	9.66E-05	8.47E-05	NO						
dnaX	b0470	2.09E-04	4.06E-04	5.95E-04	1.08E-03	1.08E-03	1.01E-03	1.12E-03	NO						
ybaB	b0471	2.73E-04	2.21E-04	2.09E-04	1.60E-04	1.80E-04	1.35E-04	2.49E-04	NO						
recR	b0472	2.45E-04	2.80E-04	2.91E-04	2.41E-04	2.29E-04	2.16E-04	4.01E-04	NO						
htpG	b0473	1.67E-03	1.22E-03	1.04E-03	5.34E-04	4.11E-04	3.55E-04	3.92E-04	NO						
adk	b0474	4.79E-04	4.72E-04	4.69E-04	4.37E-04	3.29E-04	3.55E-04	4.16E-04	NO						
hemH	b0475	3.03E-05	6.68E-05	6.07E-05	6.60E-05	4.40E-05	3.79E-05	3.25E-05	NO						
gsk	b0477	8.61E-05	1.45E-04	1.18E-04	9.44E-05	8.04E-05	7.22E-05	5.75E-05	NO						
ushA	b0480	1.30E-04	8.38E-05	9.11E-05	9.89E-05	1.00E-04	1.43E-04	1.33E-04	NO						
ybaQ	b0483	8.33E-05	3.23E-05	4.23E-05	6.43E-05	7.85E-05	8.48E-05	5.15E-05	NO						
ybaS	b0485	0.00E+00	3.16E-06	3.47E-06	8.77E-06	9.22E-06	1.38E-05	2.50E-05	NO						
ybaT	b0486	5.44E-06	3.76E-06	6.48E-06	1.11E-05	1.61E-05	1.78E-05	2.58E-05	NO						
cueR	b0487	1.29E-05	1.33E-05	1.67E-05	4.38E-05	5.14E-05	4.47E-05	5.66E-05	NO						
ybbL	b0490	2.61E-05	1.80E-05	1.67E-05	1.96E-05	2.89E-05	3.69E-05	3.16E-05	NO						
ybbM	b0491	1.83E-05	2.70E-05	2.66E-05	2.75E-05	3.66E-05	3.89E-05	3.64E-05	NO						
ybbA	b0495	1.82E-05	1.34E-05	3.22E-05	7.54E-05	9.08E-05	9.19E-05	7.59E-05	NO						
ybbP	b0496	2.01E-05	2.80E-05	5.97E-05	1.45E-04	1.48E-04	1.95E-04	2.11E-04	NO						
rhsD	b0497	5.90E-05	2.64E-05	3.64E-05	9.11E-05	1.16E-04	2.00E-04	1.66E-04	NO						
ylbI	b4632	0.00E+00	0.00E+00	0.00E+00	8.04E-07	7.57E-07	4.31E-06	1.64E-06	NO						
allA	b0505	3.26E-06	7.90E-07	1.85E-06	2.65E-06	1.53E-06	4.00E-06	4.16E-06	NO						
allR	b0506	8.13E-05	9.88E-05	7.92E-05	6.56E-05	6.40E-05	8.76E-05	8.09E-05	NO						
gcl	b0507	2.02E-06	3.96E-06	4.98E-06	9.18E-06	1.20E-05	1.36E-05	1.48E-05	NO						
hyi	b0508	0.00E+00	5.93E-07	2.55E-06	2.65E-06	1.79E-06	3.90E-06	6.66E-06	NO						
glxR	b0509	0.00E+00	3.95E-07	1.39E-06	1.84E-06	5.89E-06	1.64E-06	1.67E-06	NO						
ybbW	b0511	7.93E-06	1.38E-06	1.16E-06	1.22E-06	2.56E-07	2.87E-06	3.33E-06	NO						
allB	b0512	2.02E-06	2.77E-06	5.79E-06	4.69E-06	1.79E-06	5.75E-06	1.00E-05	NO						
ybbY	b0513	8.55E-06	1.38E-06	3.24E-06	5.30E-06	4.61E-06	4.98E-06	7.50E-06	NO						
glxK	b0514	1.37E-05	3.56E-06	7.41E-06	9.18E-06	5.89E-06	6.44E-06	1.42E-05	NO						
fdrA	b0518	1.55E-07	2.18E-06	1.85E-06	1.22E-06	0.00E+00	2.46E-06	4.17E-06	NO						
ylbE	b4572	0.00E+00	1.18E-06	4.61E-07	4.06E-07	2.30E-06	8.41E-07	0.00E+00	NO						
ylbE	b4572	0.00E+00	3.95E-07	3.47E-06	3.67E-06	7.68E-07	3.69E-06	3.33E-06	NO						
ylbF	b0520	0.00E+00	2.57E-06	9.26E-07	3.26E-06	1.02E-06	2.87E-06	4.16E-06	NO						
ybcF	b0521	0.00E+00	2.37E-06	2.31E-06	5.80E-06	4.35E-06	3.49E-06	4.17E-06	NO						
cysS	b0526	4.44E-04	3.47E-04	3.31E-04	2.07E-04	1.89E-04	1.39E-04	1.29E-04	NO						
sfmA	b0530	0.00E+00	1.58E-06	9.25E-07	2.24E-06	0.00E+00	2.67E-06	4.99E-06	NO						
sfmC	b0531	0.00E+00	0.00E+00	2.31E-07	1.02E-06	0.00E+00	1.44E-06	2.50E-06	NO						
sfmD	b0532	1.18E-05	6.33E-06	1.07E-05	1.73E-05	2.79E-05	2.33E-05	1.08E-05	NO						
sfmH	b0533	0.00E+00	1.78E-06	4.01E-06	2.18E-06	3.07E-06	3.45E-06	1.67E-06	NO						
sfmF	b0534	0.00E+00	2.96E-06	3.01E-06	7.13E-06	6.65E-06	5.54E-06	4.16E-06	NO						
peaD	b4508	0.00E+00	5.92E-07	2.31E-07	3.70E-06	3.06E-06	2.46E-06	1.66E-06	NO						
renD	b0542	0.00E+00	3.25E-07	0.00E+00	2.01E-06	5.05E-07	1.42E-06	0.00E+00	NO						
renD	b0542	3.09E-07	9.09E-06	1.95E-05	1.97E-05	2.24E-05	1.91E-05	2.36E-05	NO						
insE	b0540	1.18E-06	2.51E-06	2.99E-06	4.99E-06	7.20E-06	4.29E-06	3.76E-06	NO						
insF	b0541	6.18E-06	5.13E-06	8.80E-06	1.22E-05	1.36E-05	1.27E-05	1.25E-05	NO						
emrE	b0543	8.84E-06	2.57E-05	2.49E-05	2.79E-05	2.27E-05	4.15E-05	3.70E-05	NO						
ybcK	b0544	5.60E-06	5.93E-06	1.08E-05	1.66E-05	7.17E-06	1.83E-05	1.25E-05	NO						
ybcL	b0545	0.00E+00	7.90E-07	1.85E-06	4.89E-06	5.88E-06	8.23E-06	5.83E-06	NO						
ybcM	b0546	2.11E-05	6.72E-06	6.71E-06	6.83E-06	4.86E-06	1.53E-05	1.25E-05	NO						
ylcH	b4588	0.00E+00	3.90E-07	2.29E-07	6.04E-07	0.00E+00	4.05E-07	0.00E+00	NO						
ybcN	b0547	0.00E+00	1.97E-07	1.39E-06	6.11E-07	0.00E+00	6.15E-07	0.00E+00	NO						
ninE	b0548	0.00E+00	1.96E-07	0.00E+00	4.05E-07	0.00E+00	2.04E-07	0.00E+00	NO						
ybcO	b0549	0.00E+00	3.94E-07	0.00E+00	0.00E+00	1.28E-06	1.02E-06	8.31E-07	NO						
rusA	b0550	0.00E+00	3.95E-07	1.74E-05	3.46E-06	0.00E+00	1.02E-06	1.66E-06	NO						
ylcG	b4509	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	NO						
quuD	b0551	5.74E-06	1.97E-07	1.16E-06	2.32E-06	2.81E-06	2.87E-06	5.82E-06	NO						
essD	b0554	0.00E+00	2.74E-06	1.84E-06	4.76E-06	5.35E-06	4.97E-06	3.98E-06	NO						
arrD	b0555	3.42E-06	8.69E-06	1.27E-05	7.94E-06	1.05E-05	1.12E-05	4.16E-06	NO						
rzpD	b0556	0.00E+00	4.54E-06	5.32E-06	1.03E-05	6.90E-06	7.57E-06	5.82E-06	NO						
rzoD	b4510	0.00E+00	1.38E-06	1.18E-06	1.78E-06	1.91E-06	1.73E-06	0.00E+00	NO						
ybcW	b0559	0.00E+00	2.56E-06	2.53E-06	2.15E-06	2.24E-06	4.23E-06	4.15E-06	NO						
nohB	b0560	1.48E-06	2.17E-06	2.31E-06	1.79E-05	2.62E-05	1.75E-05	9.99E-06	NO						
aaaD	b4634	1.25E-07	9.86E-07	1.39E-06	4.88E-06	3.06E-06	2.46E-06	3.32E-06	NO						
tfaD	b0561	0.00E+00	1.58E-06	5.22E-06	3.94E-06	4.94E-06	4.17E-06	5.55E-06	NO						
tfaX	b0563	0.00E+00	5.90E-07	1.84E-06	2.84E-06	0.00E+00	1.90E-06	4.14E-07	NO						
appY	b0564	3.57E-06	1.05E-05	5.67E-06	2.04E-06	6.40E-06	7.38E-06	3.33E-06	NO						
cusC	b0572	0.00E+00	2.97E-06	2.08E-06	4.90E-06	5.12E-07	2.67E-06	1.67E-06	NO						
cusF	b0573	1.55E-07	1.58E-06	2.31E-07	8.14E-07	1.02E-06	1.02E-06	0.00E+00	NO						
cusB	b0574	0.00E+00	2.97E-06	4.40E-06	7.27E-06	3.58E-06	3.28E-06	5.00E-06	NO						
cusA	b0575	2.64E-06	1.60E-05	1.83E-05	2.55E-05	2.56E-05	1.64E-05	2.08E-05	NO						
pheP	b0576	1.04E-04	1.36E-04	1.22E-04	7.38E-05	5.17E-05	4.15E-05	5.50E-05	NO						
hokE	b4415	0.00E+00	1.96E-07	9.19E-07	3.24E-06	0.00E+00	2.36E-06	1.65E-06	NO						
insL	b0582	9.78E-05	1.27E-04	1.76E-04	9.74E-05	8.26E-05	8.14E-05	7.33E-05	NO						
fes	b0585	0.00E+00	1.58E-06	3.05E-06	6.32E-06	9.98E-06	1.48E-05	2.33E-05	NO						
ybdZ	b4511	0.00E+00	5.91E-07	6.92E-07	8.12E-07	1.78E-06	2.66E-06	4.15E-06	NO						
entF	b0586	5.29E-06	1.09E-05	2.47E-05	3.22E-05	5.02E-05	5.74E-05	9.09E-05	NO						
fepE	b0587	1.55E-07	5.93E-07	3.47E-06	2.86E-06	2.30E-06	3.39E-06	5.83E-06	NO						
entS	b0591	6.37E-06	9.89E-06	3.89E-05	1.56E-04	1.89E-04	2.27E-04	2.25E-04	NO						
entC	b0593	2.95E-06	4.35E-06	8.41E-06	2.52E-05	2.97E-05	5.53E-05	1.01E-04	NO						
entE	b0594	1.54E-05	2.57E-06	1.30E-05	2.69E-05	2.87E-05	4.44E-05	1.01E-04	NO						
entB	b0595	8.55E-06	1.58E-06	7.32E-06	7.95E-06	1.77E-05	1.79E-05	7.41E-05	NO						
entA	b0596	0.00E+00	3.75E-06	5.09E-06	8.97E-06	7.42E-06	1.91E-05	3.91E-05	NO						
ybdB	b0597	1.19E-05	1.18E-06	3.93E-06	3.87E-06	5.11E-06	7.41E-06	1.91E-05	NO						
